Task,CC-GPT-4o,CC-GPT-4o (no ctx),CC-GPT-4o-mini,CC-GPT-4o-mini (no ctx),CC-Llama-3.1-405b-instruct,CC-Llama-3.1-405b-instruct (no ctx),LLama3-70B-instruct,LLama3-70B-instruct (no ctx),LLama3-8B,LLama3-8B (no ctx),LLama3-8B-instruct,LLama3-8B-instruct (no ctx),Lag-Llama,Naive_random,Naive_oracle,Statsmodels
ATMBuildingClosedTask, 0.051 ± 0.013, 0.309 ± 0.058, 0.286 ± 0.071, 0.326 ± 0.049, 0.094 ± 0.023, 0.321 ± 0.055, 0.132 ± 0.045, 0.307 ± 0.055, 0.420 ± 0.286, 0.276 ± 0.055, 0.182 ± 0.056, 0.290 ± 0.062, 0.225 ± 0.030, 0.287 ± 0.048, 0.000 ± 0.000, 0.286 ± 0.059
ATMUnderPeriodicMaintenanceTask, 0.106 ± 0.019, 0.146 ± 0.025, 0.164 ± 0.025, 0.150 ± 0.026, 0.181 ± 0.020, 0.178 ± 0.022, 0.171 ± 0.030, 0.151 ± 0.029, 0.162 ± 0.024, 0.162 ± 0.019, 0.160 ± 0.017, 0.156 ± 0.026, 0.214 ± 0.027, 0.591 ± 0.097, 0.000 ± 0.000, 0.139 ± 0.022
BoundedPredConstraintsBasedOnPredQuantilesTask, 0.066 ± 0.062, 0.126 ± 0.061, 0.070 ± 0.056, 0.099 ± 0.061, 0.068 ± 0.064, 0.141 ± 0.067, 0.091 ± 0.060, 0.114 ± 0.062, 0.112 ± 0.060, 0.120 ± 0.062, 0.117 ± 0.062, 0.130 ± 0.064, 0.089 ± 0.036, 1.339 ± 0.899, 0.000 ± 0.000, 0.152 ± 0.081
CashDepletedinATMScenarioTask, 0.052 ± 0.013, 0.292 ± 0.055, 0.286 ± 0.069, 0.331 ± 0.050, 0.110 ± 0.039, 0.325 ± 0.058, 0.134 ± 0.040, 0.305 ± 0.055, 0.155 ± 0.036, 0.280 ± 0.053, 0.180 ± 0.056, 0.290 ± 0.060, 0.225 ± 0.030, 0.288 ± 0.049, 0.000 ± 0.000, 0.279 ± 0.061
DecreaseInTrafficInPredictionTask, 0.164 ± 0.054, 0.447 ± 0.064, 0.167 ± 0.026, 0.308 ± 0.128, 0.165 ± 0.046, 0.469 ± 0.084, 305.224 ± 254.375, 0.422 ± 0.078, 0.278 ± 0.062, 0.406 ± 0.078, 0.403 ± 0.092, 0.409 ± 0.063, 0.257 ± 0.070, 2.619 ± 0.120, 0.000 ± 0.000, 0.380 ± 0.125
DiffuseHorizontalIrradianceFromCloudStatus, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan
DirectNormalIrradianceFromClearsky, 0.148 ± 0.056, 0.466 ± 0.091, 0.157 ± 0.052, 0.415 ± 0.124, 0.180 ± 0.051, nan ± nan, nan ± nan, nan ± nan, 0.154 ± 0.055, 0.197 ± 0.063, 0.160 ± 0.057, 0.339 ± 0.127, 0.766 ± 0.056, 0.197 ± 0.046, 0.000 ± 0.000, 1.193 ± 0.332
DirectNormalIrradianceFromCloudStatus, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan
ElectricityIncreaseInPredictionTask, 0.005 ± 0.002, 0.086 ± 0.047, 0.055 ± 0.044, 0.087 ± 0.048, 0.007 ± 0.005, 0.086 ± 0.047, 0.007 ± 0.001, 0.086 ± 0.047, 0.085 ± 0.047, 0.086 ± 0.048, 0.083 ± 0.048, 0.086 ± 0.048, 0.087 ± 0.046, 0.129 ± 0.066, 0.000 ± 0.000, 0.085 ± 0.047
ElectricityIncreaseInPredictionWithDistractorText, 0.004 ± 0.002, 0.086 ± 0.047, 0.064 ± 0.047, 0.087 ± 0.048, 0.003 ± 0.001, 0.086 ± 0.047, 0.016 ± 0.007, 0.086 ± 0.047, 0.085 ± 0.047, 0.086 ± 0.048, 0.084 ± 0.048, 0.086 ± 0.048, 0.087 ± 0.046, 0.129 ± 0.066, 0.000 ± 0.000, 0.085 ± 0.047
ElectricityIncreaseInPredictionWithDistractorWithDates, 0.004 ± 0.003, 0.086 ± 0.047, 0.062 ± 0.047, 0.087 ± 0.048, 0.003 ± 0.001, 0.086 ± 0.047, 0.007 ± 0.002, 0.086 ± 0.047, 0.086 ± 0.048, 0.086 ± 0.048, 0.085 ± 0.048, 0.086 ± 0.048, 0.087 ± 0.046, 0.129 ± 0.066, 0.000 ± 0.000, 0.085 ± 0.047
ElectricityIncreaseInPredictionWithSplitContext, 0.006 ± 0.003, 0.086 ± 0.047, 0.052 ± 0.036, 0.087 ± 0.048, 0.005 ± 0.002, 0.086 ± 0.047, 0.007 ± 0.002, 0.086 ± 0.047, 0.085 ± 0.047, 0.086 ± 0.048, 0.083 ± 0.048, 0.086 ± 0.048, 0.087 ± 0.046, 0.129 ± 0.066, 0.000 ± 0.000, 0.085 ± 0.047
ExplicitDiffuseHorizontalIrradianceFromCloudStatus, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan
ExplicitDirectNormalIrradianceFromCloudStatus, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan
ExplicitPressureFromSpeedTask, 0.691 ± 0.256, 0.649 ± 0.070, nan ± nan, nan ± nan, nan ± nan, 0.624 ± 0.056, 0.311 ± 0.086, 0.572 ± 0.098, 0.829 ± 0.309, 0.586 ± 0.078, 2.028 ± 1.398, 0.652 ± 0.063, nan ± nan, 0.460 ± 0.089, 1507.586 ± 231.747, 0.549 ± 0.078
ExplicitSimilarLocationDaySolarForecastTask, 0.533 ± 0.111, 1.235 ± 0.214, 0.903 ± 0.077, 1.044 ± 0.143, nan ± nan, nan ± nan, 0.649 ± 0.166, 0.916 ± 0.253, 0.583 ± 0.174, 0.908 ± 0.179, 1.542 ± 0.526, 1.389 ± 0.324, 2.008 ± 0.483, 0.416 ± 0.023, 0.000 ± 0.000, 1.488 ± nan
